schemaVersion,recordType,source.name,source.url,content.title,content.published_date,collectedAt
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/02/wonderful-more-than-doubles-its-valuation-to-5b-in-under-6-months/,Wonderful more than doubles its valuation to $5B in under 6 months,2026-09-02T16:04:10+00:00,2026-09-03T10:32:58.480148+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/02/indias-richest-man-now-wants-to-turn-aging-computers-into-ai-ready-pcs/,India’s richest man now wants to turn aging computers into AI-ready PCs,2026-09-02T16:01:48+00:00,2026-09-03T10:32:58.480159+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/02/hiddenlayer-nabs-100m-as-enterprises-rush-to-secure-their-ai-deployments/,HiddenLayer nabs $100M as enterprises rush to secure their AI deployments,2026-09-02T15:01:23+00:00,2026-09-03T10:32:58.480171+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/02/psa-amazons-shopping-ai-can-now-tell-you-if-that-message-is-a-scam/,PSA: Amazon’s shopping AI can now tell you if that message is a scam,2026-09-02T14:56:34+00:00,2026-09-03T10:32:58.480183+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/02/adobe-acquires-indian-market-intelligence-startup-rilo/,Adobe acquires Indian market intelligence startup Rilo,2026-09-02T14:03:57+00:00,2026-09-03T10:32:58.480198+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/02/openai-faces-30-more-lawsuits-tied-to-tumbler-ridge-shooting/,OpenAI faces 30 more lawsuits tied to Tumbler Ridge shooting,2026-09-02T12:09:42+00:00,2026-09-03T10:32:58.480209+00:00
1.0,NEWS,Wired AI,https://www.wired.com/story/flock-ai-search-user-interface/,This Is Flock’s AI Search Tool for Cops,2026-09-03T10:00:00+00:00,2026-09-03T10:32:58.480509+00:00
1.0,NEWS,Wired AI,https://www.wired.com/story/meta-pushes-its-new-ai-agent-on-employees-but-eases-off-on-tokenmaxxing/,Meta Pushes Its New AI Agent on Employees—but Eases Off on Tokenmaxxing,2026-09-03T01:32:02+00:00,2026-09-03T10:32:58.480522+00:00
1.0,NEWS,Wired AI,https://www.wired.com/story/trump-administration-sides-with-ai-giants-new-york-times-lawsuit/,Trump Administration Sides With OpenAI in New York Times Copyright Lawsuit,2026-09-02T18:41:02+00:00,2026-09-03T10:32:58.480535+00:00
1.0,NEWS,Wired AI,https://www.wired.com/story/russian-startup-mostik-ai-models-communication/,These Russian Mathematicians Taught AI Models How to Talk to Each Other Without Using Words,2026-09-02T18:20:00+00:00,2026-09-03T10:32:58.480557+00:00
1.0,NEWS,Wired AI,https://www.wired.com/story/bot-vs-bot-job-interview-ai/,The Logical End Point of AI Job Interviews Is Two Bots Talking to Each Other,2026-09-02T15:51:46+00:00,2026-09-03T10:32:58.480569+00:00
